epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2877,nan,nan,nan,0.09027,0.23048,0.10492,0.05732,nan,nan,nan,0.000549352,0.000549352,0.000549352
2,40.1859,nan,nan,nan,0.08076,0.16764,0.07518,0.03723,nan,nan,nan,0.00108314,0.00108314,0.00108314
3,60.2655,nan,nan,nan,0.07133,0.14359,0.06021,0.03142,nan,nan,nan,0.00159492,0.00159492,0.00159492
4,80.0875,nan,nan,nan,0.07398,0.14185,0.06492,0.03142,nan,nan,nan,0.00156798,0.00156798,0.00156798
5,102.634,nan,nan,nan,0.07466,0.14431,0.06136,0.03217,nan,nan,nan,0.00153497,0.00153497,0.00153497
6,125.522,nan,nan,nan,0.0743,0.15087,0.07383,0.03587,nan,nan,nan,0.00150197,0.00150197,0.00150197
7,145.572,nan,nan,nan,0.07169,0.14067,0.06188,0.03076,nan,nan,nan,0.00146896,0.00146896,0.00146896
8,168.619,nan,nan,nan,0.07225,0.15715,0.06258,0.0332,nan,nan,nan,0.00143595,0.00143595,0.00143595
9,190.629,nan,nan,nan,0.06973,0.14112,0.06006,0.03201,nan,nan,nan,0.00140295,0.00140295,0.00140295
10,210.624,nan,nan,nan,0.06728,0.15351,0.06235,0.03222,nan,nan,nan,0.00136994,0.00136994,0.00136994
11,230.98,nan,nan,nan,0.07194,0.14695,0.05864,0.03049,nan,nan,nan,0.00133693,0.00133693,0.00133693
12,251.225,nan,nan,nan,0.07384,0.16007,0.06829,0.03473,nan,nan,nan,0.00130393,0.00130393,0.00130393
13,271.465,nan,nan,nan,0.0801,0.15497,0.06747,0.03445,nan,nan,nan,0.00127092,0.00127092,0.00127092
14,290.115,nan,nan,nan,0.0892,0.17072,0.07476,0.04029,nan,nan,nan,0.00123791,0.00123791,0.00123791
15,309.864,nan,nan,nan,0.07927,0.16881,0.07091,0.03736,nan,nan,nan,0.00120491,0.00120491,0.00120491
16,332.53,nan,nan,nan,0.07296,0.13848,0.06392,0.03247,nan,nan,nan,0.0011719,0.0011719,0.0011719
17,352.623,nan,nan,nan,0.06686,0.13893,0.06023,0.03101,nan,nan,nan,0.00113889,0.00113889,0.00113889
18,372.679,nan,nan,nan,0.07912,0.16298,0.06906,0.03673,nan,nan,nan,0.00110589,0.00110589,0.00110589
19,396.467,nan,nan,nan,0.07626,0.17218,0.06744,0.03567,nan,nan,nan,0.00107288,0.00107288,0.00107288
20,416.978,nan,nan,nan,0.06787,0.15306,0.06267,0.03241,nan,nan,nan,0.00103987,0.00103987,0.00103987
21,437.567,nan,nan,nan,0.0709,0.14039,0.05835,0.0305,nan,nan,nan,0.00100687,0.00100687,0.00100687
22,456.742,nan,nan,nan,0.07596,0.15205,0.06714,0.03445,nan,nan,nan,0.000973861,0.000973861,0.000973861
23,475.569,nan,nan,nan,0.07709,0.15743,0.06864,0.03516,nan,nan,nan,0.000940855,0.000940855,0.000940855
24,495.308,nan,nan,nan,0.07043,0.15351,0.06524,0.0341,nan,nan,nan,0.000907848,0.000907848,0.000907848
25,513.985,nan,nan,nan,0.07359,0.16444,0.06507,0.03482,nan,nan,nan,0.000874842,0.000874842,0.000874842
26,532.471,nan,nan,nan,0.08116,0.17201,0.07194,0.03819,nan,nan,nan,0.000841835,0.000841835,0.000841835
27,551.553,nan,nan,nan,0.07726,0.1678,0.06955,0.03714,nan,nan,nan,0.000808828,0.000808828,0.000808828
28,570.753,nan,nan,nan,0.07499,0.16517,0.06985,0.03608,nan,nan,nan,0.000775822,0.000775822,0.000775822
29,590.358,nan,nan,nan,0.07714,0.14913,0.0642,0.03402,nan,nan,nan,0.000742815,0.000742815,0.000742815
30,609.953,nan,nan,nan,0.07512,0.15541,0.06634,0.03466,nan,nan,nan,0.000709809,0.000709809,0.000709809
31,629.63,nan,nan,nan,0.07475,0.15497,0.06859,0.03527,nan,nan,nan,0.000676802,0.000676802,0.000676802
32,650.63,nan,nan,nan,0.06846,0.15351,0.06253,0.03262,nan,nan,nan,0.000643795,0.000643795,0.000643795
33,673.25,nan,nan,nan,0.09263,0.18266,0.08838,0.0465,nan,nan,nan,0.000610789,0.000610789,0.000610789
34,693.235,nan,nan,nan,0.06967,0.15177,0.06381,0.03311,nan,nan,nan,0.000577782,0.000577782,0.000577782
35,716.34,nan,nan,nan,0.07005,0.15177,0.06092,0.03183,nan,nan,nan,0.000544776,0.000544776,0.000544776
36,736.885,nan,nan,nan,0.07428,0.1608,0.06459,0.03454,nan,nan,nan,0.000511769,0.000511769,0.000511769
37,758.666,nan,nan,nan,0.08065,0.16225,0.06948,0.03562,nan,nan,nan,0.000478762,0.000478762,0.000478762
38,781.526,nan,nan,nan,0.06436,0.135,0.0545,0.02855,nan,nan,nan,0.000445756,0.000445756,0.000445756
39,801.474,nan,nan,nan,0.07749,0.15059,0.06733,0.0354,nan,nan,nan,0.000412749,0.000412749,0.000412749
40,823.996,nan,nan,nan,0.06752,0.13018,0.0578,0.02879,nan,nan,nan,0.000379743,0.000379743,0.000379743
41,845.736,nan,nan,nan,0.10582,0.16578,0.08685,0.04916,nan,nan,nan,0.000346736,0.000346736,0.000346736
42,863.917,nan,nan,nan,0.10459,0.17481,0.09361,0.05244,nan,nan,nan,0.000313729,0.000313729,0.000313729
43,881.962,nan,nan,nan,0.11817,0.197,0.10938,0.06182,nan,nan,nan,0.000280723,0.000280723,0.000280723
44,900.73,nan,nan,nan,0.1116,0.19275,0.10018,0.05771,nan,nan,nan,0.000247716,0.000247716,0.000247716
45,919.713,nan,nan,nan,0.11332,0.1974,0.10387,0.05883,nan,nan,nan,0.00021471,0.00021471,0.00021471
46,938.802,nan,nan,nan,0.1032,0.15586,0.08864,0.04964,nan,nan,nan,0.000181703,0.000181703,0.000181703
47,957.953,nan,nan,nan,0.12518,0.18052,0.11228,0.06244,nan,nan,nan,0.000148696,0.000148696,0.000148696
48,977.056,nan,nan,nan,0.12251,0.20413,0.1219,0.06691,nan,nan,nan,0.00011569,0.00011569,0.00011569
49,995.702,nan,nan,nan,0.11608,0.16505,0.1021,0.05714,nan,nan,nan,8.26832e-05,8.26832e-05,8.26832e-05
50,1013.75,nan,nan,nan,0.11491,0.16141,0.09463,0.0528,nan,nan,nan,4.96766e-05,4.96766e-05,4.96766e-05
